Question,A,B,C,D,Answer,Explanation
1. What is an operating system?,interface between the hardware and application programs,collection of programs that manages hardware resources,system service provider to the application programs,all of the mentioned,D,
2. What is the main function of the command interpreter?,to provide the interface between the API and application program,to handle the files in the operating system,to get and execute the next user-specified command,none of the mentioned,C,An Operating System acts as an intermediary between user/user applications/application programs and hardware. It is a program that manages hardware resources. It provides services to application programs.
"3. In Operating Systems, which of the following is/are CPU scheduling algorithms?",Priority,Round Robin,Shortest Job First,All of the mentioned,D,The main function of a command interpreter is to get and execute the next user-specified command. Command Interpreter checks for valid command and then runs that command else it will throw an error.
"4. To access the services of the operating system, the interface is provided by the ___________",Library,System calls,Assembly instructions,API,B,
5. CPU scheduling is the basis of ___________,multiprogramming operating systems,larger memory sized systems,multiprocessor systems,none of the mentioned,A,"To access services of the Operating System an interface is provided by the System Calls. Generally, these are functions written in C and C++. Open, Close, Read, Write are some of most prominently used system calls."
6. Which one of the following is not true?,kernel remains in the memory during the entire computer session,kernel is made of various modules which can not be loaded in running operating system,kernel is the first part of the operating system to load into memory during booting,kernel is the program that constitutes the central core of the operating system,B,None.
7. Which one of the following errors will be handle by the operating system?,lack of paper in printer,connection failure in the network,power failure,all of the mentioned,D,"Kernel is the first program that is loaded in memory when OS is loading as well as it remains in memory till OS is running. Kernel is the core part of the OS which is responsible for managing resources, allowing multiple processes to use the resources and provide services to various processes. Kernel modules can be loaded and unloaded in run-time i.e. in running OS."
8. Where is the operating system placed in the memory?,either low or high memory (depending on the location of interrupt vector),in the low memory,in the high memory,none of the mentioned,A,"All the mentioned errors are handled by OS. The OS is continuously monitoring all of its resources. Also, the OS is constantly detecting and correcting errors."
"9. If a process fails, most operating system write the error information to a ______",new file,another running process,log file,none of the mentioned,C,None.
10. Which one of the following is not a real time operating system?,RTLinux,Palm OS,QNX,VxWorks,B,"If a process fails, most operating systems write the error information to a log file. Log file is examined by the debugger, to find out what is the actual cause of that particular problem. Log file is useful for system programmers for correcting errors."
11. What does OS X has?,monolithic kernel with modules,microkernel,monolithic kernel,hybrid kernel,D,"VxWorks, QNX & RTLinux are real-time operating systems. Palm OS is a mobile operating system. Palm OS is developed for Personal Digital Assistants (PDAs)."
"12. In operating system, each process has its own __________",open files,"pending alarms, signals, and signal handlers",address space and global variables,all of the mentioned,D,OS X has a hybrid kernel. Hybrid kernel is a combination of two different kernels. OS X is developed by Apple and originally it is known as Mac OS X.
"13. In a timeshare operating system, when the time slot assigned to a process is completed, the process switches from the current state to?",Suspended state,Terminated state,Ready state,Blocked state,C,"In Operating Systems, each process has its own address space which contains code, data, stack, and heap segments or sections. Each process also has a list of files that is opened by the process as well as all pending alarms, signals, and various signal handlers."
14. Cascading termination refers to the termination of all child processes if the parent process terminates ______,Normally or abnormally,Abnormally,Normally,None of the mentioned,A,"In a time-sharing operating system, when the time slot given to a process is completed, the process goes from the running state to the Ready State. In a time-sharing operating system, unit time is defined for sharing CPU, it is called a time quantum or time slice. If a process takes less than 1 time quantum, then the process itself releases the CPU."
"15. When a process is in a “Blocked” state waiting for some I/O service. When the service is completed, it goes to the __________",Terminated state,Suspended state,Running state,Ready state,D,Cascading termination refers to the termination of all child processes if the parent process terminates Normally or Abnormally. Some systems don’t allow child processes to exist if the parent process has terminated. Cascading termination is normally initiated by the operating system.
16. Transient operating system code is a code that ____________,stays in the memory always,never enters the memory space,comes and goes as needed,is not easily accessible,C,"Suppose that a process is in “Blocked” state waiting for some I/O service. When the service is completed, it goes to the ready state. Process never goes directly to the running state from the waiting state. Only processes which are in ready state go to the running state whenever CPU allocated by operating system."
17. The portion of the process scheduler in an operating system that dispatches processes is concerned with ____________,assigning ready processes to waiting queue,assigning running processes to blocked queue,assigning ready processes to CPU,all of the mentioned,C,None.
18. The FCFS algorithm is particularly troublesome for ____________,operating systems,multiprocessor systems,time sharing systems,multiprogramming systems,C,None.
"19. For an effective operating system, when to check for deadlock?",every time a resource request is made at fixed time intervals,at fixed time intervals,every time a resource request is made,none of the mentioned,A,"In a time sharing system, each user needs to get a share of the CPU at regular intervals."
20. A deadlock avoidance algorithm dynamically examines the __________ to ensure that a circular wait condition can never exist.,operating system,resources,system storage state,resource allocation state,D,"In an effective operating system, we must verify the deadlock each time a request for resources is made at fixed time intervals."
"21. Swapping _______ be done when a process has pending I/O, or has to execute I/O operations only into operating system buffers.",must never,maybe,can,must,A,Resource allocation states are used to maintain the availability of the already and current available resources.
22. The main memory accommodates ____________,cpu,user processes,operating system,all of the mentioned,C,None.
23. The operating system is responsible for?,bad-block recovery,booting from disk,disk initialization,all of the mentioned,D,None.
24. The operating system and the other processes are protected from being modified by an already running process because ____________,every address generated by the CPU is being checked against the relocation and limit registers,they have a protection algorithm,they are in different memory spaces,they are in different logical addresses,A,None.
"25. Using transient code, _______ the size of the operating system during program execution.",maintains,changes,increases,decreases,B,None.
"26. The operating system maintains a ______ table that keeps track of how many frames have been allocated, how many are there, and how many are available.",memory,mapping,page,frame,D,None.
"27. To obtain better memory utilization, dynamic loading is used. With dynamic loading, a routine is not loaded until it is called. For implementing dynamic loading ____________",special support from operating system is essential,special support from hardware is required,user programs can implement dynamic loading without any special support from hardware or operating system,special support from both hardware and operating system is essential,C,None.
"28. The _________ presents a uniform device-access interface to the I/O subsystem, much as system calls provide a standard interface between the application and the operating system.",Device drivers,I/O systems,Devices,Buses,A,None.
29. In real time operating system ____________,process scheduling can be done only once,all processes have the same priority,kernel is not required,a task must be serviced by its deadline period,D,None.
30. Hard real time operating system has ______________ jitter than a soft real time operating system.,equal,more,less,none of the mentioned,C,None.
"31. For real time operating systems, interrupt latency should be ____________",zero,minimal,maximum,dependent on the scheduling,B,Jitter is the undesired deviation from the true periodicity.
32. Which one of the following is a real time operating system?,Windows CE,RTLinux,VxWorks,All of the mentioned,D,Interrupt latency is the time duration between the generation of interrupt and execution of its service.
33. The priority of a process will ______________ if the scheduler assigns it a static priority.,depends on the operating system,change,remain unchanged,none of the mentioned,C,None.
34. What are the characteristics of Host based IDS?,Logs are analysed to detect tails of intrusion,The host operating system logs in the audit information,"Logs includes logins, file opens, and program executions",All of the mentioned,D,None.
35. What are the characteristics of stack based IDS?,It is programmed to interpret a certain series of packets,It models the normal usage of the network as a noise characterization,They are integrated closely with the TCP/IP stack and watch packets,The host operating system logs in the audit information,C,None.
"36. If the sum of the working – set sizes increases, exceeding the total number of available frames ____________",the operating system selects a process to suspend,the system crashes,then the process crashes,the memory overflows,A,None.
37. The information about all files is kept in ____________,operating system,separate directory structure,swap space,none of the mentioned,B,None.
38. The operating system keeps a small table containing information about all open files called ____________,file table,directory table,open-file table,system table,C,None.
39. What will happen in the single level directory?,All files are contained in the same directory,All files are contained in different directories all at the same level,Depends on the operating system,None of the mentioned,A,None.
"40. The operating system _______ the links when traversing directory trees, to preserve the acyclic structure of the system.",deletes,considers,ignores,none of the mentioned,C,None.
41. To recover from failures in the network operations _____________ information may be maintained.,operating system,ip address,stateless,state,D,None.
"42. On systems where there are multiple operating system, the decision to load a particular one is done by _____________",process control block,file control block,boot loader,bootstrap,C,None.
43. Whenever a process needs I/O to or from a disk it issues a ______________,system call to the operating system,a special procedure,system call to the CPU,all of the mentioned,A,None.
44. The two steps the operating system takes to use a disk to hold its files are _______ and ________,caching & logical formatting,logical formatting & swap space creation,swap space creation & caching,partitioning & logical formatting,D,None.
"45. The _______ program initializes all aspects of the system, from CPU registers to device controllers and the contents of main memory, and then starts the operating system.",bootstrap,main,bootloader,rom,A,None.
"46. In SCSI disks used in high end PCs, the controller maintains a list of _________ on the disk. The disk is initialized during ________ formatting which sets aside spare sectors not visible to the operating system.","destroyed blocks, partitioning","bad blocks, low level formatting","destroyed blocks, high level formatting","bad blocks, partitioning",B,None.
"47. Which principle states that programs, users, and even the systems be given just enough privileges to perform their task?",principle of least privilege,principle of process scheduling,principle of operating system,none of the mentioned,A,None.
48. Network operating system runs on ___________,every system in the network,server,both server and every system in the network,none of the mentioned,B,None.
49. What are the types of distributed operating systems?,Zone based Operating system,Level based Operating system,Network Operating system,All of the mentioned,C,None.
"50. In Unix, which system call creates the new process?",create,fork,new,none of the mentioned,B,None.
